"","Date","FlowRate","BCoV","N1","N2","N1Error","N2Error","PMMoV","LoessN1","LoessN2","DeTrendedN1","DeTrendedN2"
"1",2020-09-15,44.77,NA,63618,32447,5938,4069,25753383.57,29983.6704565799,8491.58997418278,33634.3295434201,23955.4100258172
"2",2020-09-19,46.7,0.27,11442,9003,1619,3347,40968307,30282.8413205003,9981.88606723678,-18840.8413205003,-978.886067236783
"3",2020-09-22,41.49,1.09,39145,8102,2835,1902,22508539,31251.0944643664,11739.6193115984,7893.90553563357,-3637.61931159838
"4",2020-09-25,41.07,0.7774,28553,1210,2132,291,26700211,32473.7916756247,13619.9179827504,-3920.79167562469,-12409.9179827504
"5",2020-09-24,41.47,0.0731,16743,4437,7255,1831,21097519,32023.8185939733,12972.7241879013,-15280.8185939733,-8535.72418790131
"6",2020-09-23,41.65,0.2744,30509,7419,278,2855,21980553,31573.8455123218,12325.5303930522,-1064.84551232182,-4906.53039305224
"7",2020-09-28,40.95,0.17219946,22794,2281,4518,1719,40392929.84,34890.5314902749,16073.2727169367,-12096.5314902749,-13792.2727169367
"8",2020-09-29,41.28,0.150777487,25014,10209,7042,3640,28568924.44,35696.1114284916,16891.0576283321,-10682.1114284916,-6682.0576283321
"9",2020-10-02,39.69,0.437,38687,30103,6160,4577,26676154,42302.7243258325,21943.8418192045,-3615.72432583247,8159.15818079549
"10",2020-10-01,40.09,0.467,17950,18718,1974,3152,9381689,40100.5200267188,20259.580422247,-22150.5200267188,-1541.58042224704
"11",2020-10-05,38.88,1.696894563,69413,28352,7326,10498,42567242.53,50090.0758521523,26867.99266162,19322.9241478477,1484.00733837997
"12",2020-10-06,39.82,5.288822801,90065,61284,12328,3345,36578536.78,52685.8596942589,28509.3762757585,37379.1403057411,32774.6237242415
"13",2020-10-07,39.13,1.11,27145,10737,7854,1630,42650258,55618.7423652949,30966.3063951075,-28473.7423652949,-20229.3063951075
"14",2020-10-08,41.51,3.53,57391,53944,1004,11837,28162417,58551.6250363308,33423.2365144564,-1160.62503633081,20520.7634855436
"15",2020-10-09,39.04,3.52,38789,25938,3903,6731,26751469,61484.5077073668,35880.1666338054,-22695.5077073668,-9942.16663380537
"16",2020-10-12,38.18,4.03,153361,28137,11515,5530,31965145.09,77986.3736326272,50057.2711918524,75374.6263673728,-21920.2711918524
"17",2020-10-13,39.79,0.58,89962,29730,12938,8660,31163985.19,83486.9956077141,54782.9727112015,6475.00439228593,-25052.9727112015
"18",2020-10-14,38.84,0.516455698,27400,12333,1942,1791,15605997.19,90808.7436029805,61106.0609770507,-63408.7436029805,-48773.0609770507
"19",2020-10-15,38.91,1.373440262,33927,26856,5221,539,18023869.13,98130.4915982469,67429.1492428999,-64203.4915982469,-40573.1492428999
"20",2020-10-16,38.77,7.457155804,60073,94415,4517,9490,14730920.42,105452.239593513,73752.2375087491,-45379.2395935133,20662.7624912509
"21",2020-10-20,38.84,0.574251968,126947,97975,13606,12353,29149730.07,142274.40004291,103533.871661492,-15327.4000429098,-5558.87166149249
"22",2020-10-19,38.02,0.166705036,99812,94188,10607,7063,27900656.57,133068.859930561,96088.4631233066,-33256.8599305607,-1900.46312330663
"23",2020-10-21,38.26,1.47,172518,110169,15699,14650,28288684,153114.327606407,111344.875507313,19403.6723935928,-1175.87550731275
"24",2020-10-22,39.42,2.69,191791,150149,27028,7569,24405992,163954.255169905,119155.879353133,27836.7448300954,30993.120646867
"25",2020-10-23,42.69,3.3,278492,281888,7464,28513,66293365,174794.182733402,126966.883198953,103697.817266598,154921.116801047
"26",2020-10-27,41.29,1.717529322,72050,100432,25562,3092,14628504.36,226851.530645085,157114.875700223,-154801.530645085,-56682.8757002227
"27",2020-10-26,41.34,2.3839583,239165,182369,19320,9702,20673476.36,213837.193667165,149577.877574905,25327.8063328354,32791.1224250947
"28",2020-10-28,41.19,1.01,193081,92533,51854,3741,18012652,235611.561574181,161955.298889088,-42530.5615741813,-69422.2988890883
"29",2020-10-29,40.62,1.59,337242,227134,-1,-1,14326703,244371.592503277,166795.722077954,92870.407496723,60338.2779220462
"30",2020-10-30,40.27,2.938496844,187631,117345,30875,12468,77791331,253131.623432373,171636.145266819,-65500.6234323728,-54291.1452668193
"31",2020-11-02,38.97,0.052,348560,281190,4107,72522,5844635,243309.732503125,163769.025465211,105250.267496875,117420.974534789
"32",2020-11-03,39.31,0.029,5472,4063,670,2084,15434659,240035.768860043,161146.652198009,-234563.768860043,-157083.652198009
"33",2020-11-04,39.2,0.138425324,374756,294812,37425,19315,7128408.209,233643.508260348,157120.582140451,141112.491739652,137691.417859549
"34",2020-11-05,38.63,0.144808878,435919,331192,40669,14502,7256777.478,227251.247660653,153094.512082893,208667.752339347,178097.487917107
"35",2020-11-09,37.98,0.14,297676,181629,17748,851,22944431,203436.156589895,139992.355832858,94239.8434101048,41636.6441671417
"36",2020-11-10,38.46,0.09,263642,184340,4426,25782,23175797,193918.308544827,132380.701306502,69723.6914551731,51959.2986934979
"37",2020-11-13,39.48,1.52,71562,64517,7452,7023,14556933,165364.764409622,109545.737727433,-93802.764409622,-45028.7377274334
"38",2020-11-12,40.55,1.2,68865,39582,5278,2719,16471088,174882.61245469,117157.39225379,-106017.61245469,-77575.3922537896
"39",2020-11-11,40.07,0.87,61122,52024,5769,10903,15617963,184400.460499759,124769.046780146,-123278.460499759,-72745.0467801458
"40",2020-11-16,39.96,0.054,9766,124402,3482,-1,6544935,173356.982778093,100097.746723414,-163590.982778093,24304.2532765861
"41",2020-11-17,39.5,0.0225,32100,16680,2731,4774,5635131,176021.055567583,96948.4163887407,-143921.055567583,-80268.4163887407
"42",2020-11-19,38.92,1.74,114587,84843,72925,8504,23253375,192238.780673228,106523.30164357,-77651.7806732281,-21680.3016435704
"43",2020-11-20,38.43,4.66,1017335,765038,5680,26427,20604597,200347.643226051,111310.744270985,816987.356773949,653727.255729015
"44",2020-11-18,38.67,1.86,196147,70703,12387,3901,23149549,184129.918120406,101735.859016156,12017.0818795944,-31032.8590161555
"45",2020-11-23,37.71,7.19,359569,177872,25407,15966,35247211,240398.955831169,140267.333180057,119170.044168831,37604.6668199433
"46",2020-11-24,37.93,6.94,326537,42791,29762,22311,48693074,253749.393366208,149919.529483081,72787.6066337918,-107128.529483081
"47",2020-11-25,39.22,8.23,532528,928293,22777,79535,35402707,268051.615141852,162889.431260281,264476.384858148,765403.568739719
"48",2020-11-26,40.44,4.45,330351,621918,12682,39097,30948327,282353.836917496,175859.333037482,47997.1630825044,446058.666962518
"49",2020-11-27,38.93,9.36,228846,379327,8820,26541,33804012,296656.058693139,188829.234814682,-67810.0586931394,190497.765185318
"50",2020-11-30,38.03,13.72,811902,949790,40021,29843,38842477,323161.40534627,243907.135076349,488740.59465373,705882.864923651
"51",2020-12-01,38.92,19.82,303832,137409,7663,31969,55187822,331996.520897314,262266.435163571,-28164.520897314,-124857.435163571
"52",2020-12-03,37.76,2.162,381997,34789,19285,2811,70713804,338800.18845398,292715.318868626,43196.8115460198,-257926.318868626
"53",2020-12-02,38.08,2.006,366513,43604,61515,15162,33362476,335398.354675647,277490.877016098,31114.6453243529,-233886.877016098
"54",2020-12-04,38.88,3.502,256493,42288,44438,15154,33986950,342202.022232313,307939.760721153,-85709.0222323133,-265651.760721153
"55",2020-12-07,37.4,3.350925512,370436,342312,38942,13013,23825767.51,325024.291888605,338894.535167432,45411.7081113946,3417.46483256773
"56",2020-12-08,37.96,1.516285291,512015,475227,26909,21170,24931830.92,319298.381774036,349212.793316192,192716.618225964,126014.206683808
"57",2020-12-09,37.98,17.98,461266,585486,46831,33939,114578711,306689.704962919,346679.35704454,154576.295037081,238806.64295546
"58",2020-12-10,37.79,28.91,322737,370516,30259,48913,64551737,294081.028151802,344145.920772888,28655.9718481977,26370.0792271115
"59",2020-12-11,37.03,24.94,689328,767813,31450,32329,72586362,281472.351340685,341612.484501237,407855.648659315,426200.515498763
"60",2020-12-14,37.38,10.91,231617,418563,19477,12560,29697793,241367.095775889,297532.72857446,-9750.09577588935,121030.27142554
"61",2020-12-15,38.13,7.97,439533,557866,25089,79500,90440119,227998.677254291,282839.476598868,211534.322745709,275026.523401132
"62",2020-12-18,37.22,16.75,132969,246986,13144,3920,21162903,178927.724654038,238759.609478014,-45958.7246540377,8226.39052198638
"63",2020-12-17,36.98,6.38,100676,125943,1935,13427,23889024,195284.708854122,253452.898518298,-94608.708854122,-127509.898518298
"64",2020-12-16,37.56,7.21,159119,239223,9964,14436,12446438,211641.693054206,268146.187558583,-52522.6930542063,-28923.1875585829
