"","Date","N1","LoessN1","DetrendedN1"
"1",0,63618,-3627.99649865702,67245.996498657
"2",4,11442,12206.4091880236,-764.409188023614
"3",7,39145,24029.8232844935,15115.1767155065
"4",10,28553,35819.1840113242,-7266.18401132422
"5",9,16743,31895.0726639872,-15152.0726639872
"6",8,30509,27970.9613166501,2538.03868334989
"7",13,22794,47527.3596236665,-24733.3596236665
"8",14,25014,51430.0848277806,-26416.0848277806
"9",17,38687,63050.002522285,-24363.002522285
"10",16,17950,59176.6966241169,-41226.6966241169
"11",20,69413,74568.1407000878,-5155.14070008775
"12",21,90065,78407.5200926887,11657.4799073113
"13",22,27145,82209.8193486901,-55064.8193486901
"14",23,57391,86012.1186046916,-28621.1186046916
"15",24,38789,89814.4178606931,-51025.4178606931
"16",27,153361,101103.5408653,52257.4591347
"17",28,89962,104866.581866836,-14904.5818668357
"18",29,27400,108590.07152068,-81190.0715206801
"19",30,33927,112313.561174525,-78386.5611745246
"20",31,60073,116037.050828369,-55964.0508283691
"21",35,126947,130782.172022837,-3835.17202283656
"22",34,99812,127095.89172422,-27283.8917242197
"23",36,172518,134437.864041267,38080.1359587334
"24",37,191791,138093.556059697,53697.4439403034
"25",38,278492,141749.248078127,136742.751921873
"26",42,72050,156292.667751121,-84242.6677511209
"27",41,239165,152656.812832872,86508.1871671277
"28",43,193081,159920.405934577,33160.5940654227
"29",44,337242,163548.144118034,173693.855881966
"30",45,187631,167175.88230149,20455.1176985099
"31",48,348560,178086.273632965,170473.726367035
"32",49,5472,181723.070743457,-176251.070743457
"33",50,374756,185382.036616597,189373.963383403
"34",51,435919,189041.002489736,246877.997510264
"35",55,297676,203808.661797745,93867.3382022549
"36",56,263642,207107.53325515,56534.4667448496
"37",59,71562,217004.147627366,-145442.147627366
"38",58,68865,213705.276169961,-144840.276169961
"39",57,61122,210406.404712556,-149284.404712556
"40",62,9766,221990.080500624,-212224.080500624
"41",63,32100,223652.058125043,-191552.058125043
"42",65,114587,225782.663670217,-111195.663670217
"43",66,1017335,226847.966442804,790487.033557196
"44",64,196147,224717.36089763,-28570.3608976298
"45",69,359569,228615.513967959,130953.486032041
"46",70,326537,229204.696476344,97332.3035236558
"47",71,532528,229937.689725075,302590.310274925
"48",72,330351,230670.682973806,99680.3170261939
"49",73,228846,231403.676222537,-2557.67622253706
"50",76,811902,231235.970925484,580666.029074516
"51",77,303832,231180.069159799,72651.9308402007
"52",79,381997,230820.12053402,151176.87946598
"53",78,366513,231000.09484691,135512.90515309
"54",80,256493,230640.146221131,25852.8537788692
"55",83,370436,229899.025251465,140536.974748535
"56",84,512015,229651.984928243,282363.015071757
"57",85,461266,229387.624189877,231878.375810123
"58",86,322737,229123.263451511,93613.7365484886
"59",87,689328,228858.902713145,460469.097286855
"60",90,231617,228069.444572934,3547.55542706628
"61",91,439533,227806.29185953,211726.70814047
"62",94,132969,227170.776370299,-94201.7763702993
"63",93,100676,227382.614866709,-126706.614866709
"64",92,159119,227594.45336312,-68475.4533631197
"65",97,90457,226136.119205746,-135679.119205746
"66",98,71231,225791.233484228,-154560.233484228
"67",99,155740,225330.275730666,-69590.2757306664
"68",100,128763,224869.317977105,-96106.3179771051
"69",101,260494,224408.360223544,36085.6397764563
"70",105,157093,222318.793124482,-65225.7931244816
"71",104,146336,222841.184899247,-76505.1848992471
"72",106,31701,220989.162684704,-189288.162684704
"73",107,202426,219659.532244927,-17233.5322449266
"74",108,16392,218329.901805149,-201937.901805149
"75",111,67330,215542.548050645,-148212.548050645
"76",112,77349,214613.430132477,-137264.430132477
"77",113,75843,213026.356986083,-137183.356986083
"78",114,151435,211439.283839689,-60004.2838396893
"79",115,207160,209852.210693296,-2692.21069329552
"80",118,206772,206630.111765106,141.8882348935
"81",119,347374,205556.078789043,141817.921210957
"82",120,164089,204798.028313384,-40709.028313384
"83",121,135208,204039.977837724,-68831.9778377245
"84",122,341217,203281.927362065,137935.072637935
"85",125,195324,201822.310753046,-6498.31075304557
"86",126,325153,201335.771883372,123817.228116628
"87",127,269079,201407.678205435,67671.3217945654
"88",128,156173,201479.584527497,-45306.5845274967
"89",129,302627,201551.490849559,101075.509150441
"90",132,135003,202930.023428754,-67927.0234287543
"91",133,1831813,203389.534288486,1628423.46571151
"92",135,231625,204284.076079608,27340.9239203917
"93",134,1357329,203836.805184047,1153492.19481595
"94",138,256082,205047.683069234,51034.316930766
"95",139,149707,205302.218732443,-55595.2187324425
"96",140,145702,205161.20599688,-59459.2059968805
"97",141,281764,205020.193261318,76743.8067386816
"98",142,302618,204879.180525756,97738.8194742436
"99",143,204916,204738.167790194,177.832209805696
"100",145,216896,204074.955037205,12821.0449627953
"101",146,140991,203743.34866071,-62752.3486607099
"102",147,288170,203411.742284215,84758.2577157849
"103",148,354811,202447.026008667,152363.973991333
"104",149,388671,201482.30973312,187188.69026688
"105",150,153317,200517.593457572,-47200.5934575719
"106",152,104479,197958.803581852,-93479.8035818515
"107",153,155544,196679.408643991,-41135.4086439914
"108",154,135689,195400.013706131,-59711.0137061312
"109",155,217893,193860.590879603,24032.4091203971
"110",156,152832,192321.168053075,-39489.1680530746
"111",157,380836,190781.745226546,190054.254773454
"112",159,161831,187333.123551838,-25502.1235518376
"113",160,135521,185608.812714483,-50087.8127144832
"114",161,141070,183884.501877129,-42814.5018771288
"115",162,216155,182054.406880418,34100.5931195818
"116",163,204868,180224.311883708,24643.6881162924
"117",166,196433,174529.16976657,21903.83023343
"118",167,242302,172630.789060857,69671.2109391425
"119",168,171040,170656.386668291,383.613331708591
"120",169,214068,168681.984275725,45386.0157242746
"121",170,202996,166707.581883159,36288.4181168407
"122",171,131079,164733.179490593,-33654.1794905932
"123",173,135728,160641.772674845,-24913.7726748454
"124",174,130820,158596.069266971,-27776.0692669715
"125",175,96163,156550.365859098,-60387.3658590976
"126",176,158101,154416.894213119,3684.1057868808
"127",177,39799,152283.422567141,-112484.422567141
"128",178,80111,150149.950921162,-70038.9509211625
"129",180,62837,146102.651338857,-83265.6513388567
"130",181,88331,144079.001547704,-55748.0015477038
"131",182,71269,142055.351756551,-70786.351756551
"132",183,159090,140117.33299191,18972.6670080899
"133",184,145500,138179.314227269,7320.68577273077
"134",185,49915,136241.295462628,-86326.2954626284
"135",187,211332,133775.593059811,77556.4069401892
"136",188,162650,132542.741858402,30107.2581415979
"137",189,239319,131309.890656993,108009.109343007
"138",190,123745,130173.944242602,-6428.94424260186
"139",191,71201,129037.99782821,-57836.9978282104
"140",192,206789,127902.051413819,78886.948586181
"141",194,187614,127312.636779749,60301.3632202509
"142",195,163089,127017.929462714,36071.0705372859
"143",196,229259,126723.222145679,102535.777854321
"144",197,57567,126327.13872269,-68760.1387226903
"145",198,102250,125931.055299701,-23681.0552997013
"146",199,138033,125534.971876712,12498.0281232876
"147",202,81144,126046.125068533,-44902.1250685325
"148",203,95585,126216.509465806,-30631.5094658059
"149",204,38200,126227.358062849,-88027.3580628486
"150",205,76823,126238.206659891,-49415.2066598913
"151",209,54648,126536.025376099,-71888.0253760992
"152",206,61317,126249.055256934,-64932.0552569339
